FIPS,County name,Medicare enrollees (2010),Total Medicare reimbursements per enrollee (Parts A and B) (2010) ASRA,Total Medicare reimbursements per enrollee (Parts A and B) (2010) PASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) ASRA,Hospital & skilled nursing facility reimbursements per enrollee (2010) PASRA,Physician reimbursements per enrollee (2010) ASRA,Physician reimbursements per enrollee (2010) PASRA,Outpatient facility reimbursements per enrollee (2010) ASRA,Outpatient facility reimbursements per enrollee (2010) PASRA,Home health agency reimbursements per enrollee (2010) ASRA,Home health agency reimbursements per enrollee (2010) PASRA,Hospice reimbursements per enrollee (2010) ASRA,Hospice reimbursements per enrollee (2010) PASRA,Durable medical equipment reimbursements per enrollee (2010) ASRA,Durable medical equipment reimbursements per enrollee (2010) PASRA
40087,OK-McClain County,"4,146 ","9,533 ","10,437 ","4,240 ","4,859 ","2,340 ","2,453 ",894 ,938 ,"1,342 ","1,410 ",590 ,674 ,295 ,297 
40089,OK-McCurtain County,"4,143 ","11,810 ","13,340 ","4,617 ","5,491 ","2,298 ","2,360 ","1,080 ","1,188 ","2,937 ","3,271 ",742 ,916 ,373 ,379 
40091,OK-McIntosh County,"3,949 ","9,673 ","10,756 ","4,430 ","5,058 ","2,199 ","2,323 ",742 ,816 ,"1,838 ","2,042 ",318 ,386 ,298 ,300 
40093,OK-Major County,"1,266 ","8,890 ","9,824 ","4,638 ","5,187 ","1,766 ","1,853 ","1,379 ","1,539 ",564 ,627 ,,,266 ,266 
40095,OK-Marshall County,"2,463 ","10,463 ","11,688 ","4,630 ","5,194 ","2,332 ","2,605 ",958 ,"1,058 ","2,109 ","2,351 ",334 ,402 ,285 ,287 
40097,OK-Mayes County,"4,819 ","9,098 ","9,956 ","3,750 ","4,128 ","2,237 ","2,370 ",958 ,"1,043 ","1,282 ","1,392 ",733 ,898 ,269 ,269 
40099,OK-Murray County,"1,880 ","10,033 ","11,460 ","4,439 ","5,319 ","1,940 ","2,047 ","1,096 ","1,213 ","1,696 ","1,870 ",726 ,885 ,269 ,278 
40101,OK-Muskogee County,"9,033 ","9,751 ","10,955 ","4,480 ","5,227 ","2,369 ","2,478 ",725 ,799 ,"1,474 ","1,625 ",511 ,625 ,252 ,258 
40103,OK-Noble County,"1,427 ","7,859 ","8,670 ","3,638 ","4,094 ","2,140 ","2,279 ","1,084 ","1,195 ",468 ,517 ,,,318 ,326 
40105,OK-Nowata County,"1,610 ","8,478 ","9,763 ","4,137 ","4,990 ","1,850 ","2,020 ","1,268 ","1,402 ",745 ,794 ,,,202 ,220 
40107,OK-Okfuskee County,"1,667 ","10,320 ","11,216 ","4,366 ","4,727 ","1,961 ","2,060 ","1,225 ","1,320 ","1,654 ","1,796 ",868 ,"1,060 ",315 ,322 
40109,OK-Oklahoma County,"61,353 ","9,560 ","10,333 ","4,363 ","4,841 ","2,340 ","2,463 ",932 ,979 ,"1,059 ","1,113 ",587 ,659 ,285 ,285 
40111,OK-Okmulgee County,"5,303 ","8,627 ","9,497 ","3,575 ","4,049 ","1,913 ","2,035 ",967 ,"1,026 ","1,468 ","1,595 ",491 ,569 ,256 ,264 
40113,OK-Osage County,"4,051 ","10,239 ","11,194 ","4,503 ","5,042 ","2,279 ","2,399 ","1,213 ","1,298 ","1,258 ","1,321 ",821 ,967 ,282 ,293 
40115,OK-Ottawa County,"4,458 ","9,176 ","10,406 ","4,451 ","5,257 ","1,856 ","1,988 ","1,173 ","1,285 ",998 ,"1,072 ",456 ,557 ,275 ,280 
40117,OK-Pawnee County,"2,227 ","11,418 ","12,176 ","5,022 ","5,358 ","2,556 ","2,659 ","1,604 ","1,712 ","1,027 ","1,085 ",983 ,"1,158 ",306 ,298 
40119,OK-Payne County,"7,122 ","8,741 ","9,694 ","3,774 ","4,309 ","2,337 ","2,463 ",999 ,"1,104 ",865 ,942 ,504 ,620 ,284 ,287 
40121,OK-Pittsburg County,"6,163 ","9,238 ","10,425 ","4,084 ","4,841 ","2,218 ","2,316 ",860 ,953 ,"1,532 ","1,700 ",353 ,430 ,275 ,278 
40123,OK-Pontotoc County,"4,895 ","9,208 ","10,166 ","4,095 ","4,601 ","1,758 ","1,890 ",990 ,"1,095 ","1,818 ","1,946 ",367 ,453 ,289 ,292 
40125,OK-Pottawatomie County,"8,103 ","9,396 ","10,357 ","4,385 ","4,963 ","2,254 ","2,377 ",930 ,"1,009 ",996 ,"1,059 ",613 ,742 ,299 ,302 
40127,OK-Pushmataha County,"1,956 ","11,260 ","12,739 ","5,006 ","5,953 ","2,182 ","2,233 ",820 ,908 ,"2,536 ","2,825 ",559 ,677 ,375 ,378 
40129,OK-Roger Mills County,575 ,"12,400 ","12,928 ","6,728 ","6,797 ","2,193 ","2,240 ","1,823 ","2,018 ","1,044 ","1,160 ",,,272 ,275 
40131,OK-Rogers County,"6,145 ","9,130 ","10,020 ","4,194 ","4,734 ","2,261 ","2,403 ",879 ,928 ,"1,079 ","1,156 ",577 ,668 ,253 ,257 
40133,OK-Seminole County,"3,505 ","9,106 ","10,100 ","4,162 ","4,775 ","1,983 ","2,090 ","1,070 ","1,178 ","1,270 ","1,360 ",296 ,356 ,365 ,381 
40135,OK-Sequoyah County,"4,764 ","9,667 ","11,036 ","4,410 ","5,313 ","1,979 ","2,094 ",891 ,980 ,"1,599 ","1,757 ",641 ,744 ,313 ,318 
40137,OK-Stephens County,"6,659 ","8,933 ","10,021 ","3,970 ","4,662 ","2,221 ","2,327 ",994 ,"1,098 ","1,199 ","1,328 ",294 ,363 ,304 ,305 
40139,OK-Texas County,"1,856 ","8,170 ","9,079 ","3,936 ","4,513 ","2,441 ","2,609 ",879 ,968 ,448 ,498 ,,,316 ,327 
40141,OK-Tillman County,"1,278 ","10,977 ","12,286 ","5,442 ","6,282 ","1,962 ","2,067 ","1,052 ","1,155 ","1,913 ","2,131 ",,,377 ,382 
40143,OK-Tulsa County,"44,414 ","8,971 ","9,816 ","3,938 ","4,417 ","2,295 ","2,430 ",842 ,890 ,916 ,974 ,737 ,856 ,245 ,249 
40145,OK-Wagoner County,"4,947 ","9,557 ","10,504 ","4,058 ","4,543 ","2,238 ","2,387 ",785 ,833 ,"1,294 ","1,384 ","1,137 ","1,341 ",287 ,296 
40147,OK-Washington County,"7,723 ","7,522 ","8,509 ","3,058 ","3,614 ","2,101 ","2,287 ",866 ,962 ,919 ,978 ,373 ,458 ,228 ,232 
40149,OK-Washita County,"1,655 ","10,007 ","11,115 ","4,720 ","5,331 ","1,993 ","2,093 ","1,203 ","1,322 ","1,240 ","1,376 ",564 ,704 ,318 ,321 
40151,OK-Woods County,"1,266 ","6,802 ","7,536 ","3,283 ","3,634 ","1,654 ","1,802 ","1,059 ","1,181 ",280 ,309 ,,,244 ,251 
40153,OK-Woodward County,"2,511 ","7,753 ","8,868 ","3,805 ","4,580 ","1,942 ","2,064 ","1,075 ","1,191 ",333 ,374 ,272 ,336 ,310 ,317 
